Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price,manufacture_year_copy,manufacture_date
Ford,Fiesta,1.0,Petrol,2002,127300,3074,2002,2002-01-01 00:00:00
Porsche,718 Cayman,4.0,Petrol,2016,57850,49704,2016,2016-01-01 00:00:00
Ford,Mondeo,1.6,Diesel,2014,39190,24072,2014,2014-01-01 00:00:00
Toyota,RAV4,1.8,Hybrid,1988,210814,1705,1988,1988-01-01 00:00:00
VW,Polo,1.0,Petrol,2006,127869,4101,2006,2006-01-01 00:00:00
Ford,Focus,1.4,Petrol,2018,33603,29204,2018,2018-01-01 00:00:00
Ford,Mondeo,1.8,Diesel,2010,86686,14350,2010,2010-01-01 00:00:00
Toyota,Prius,1.4,Hybrid,2015,30663,30297,2015,2015-01-01 00:00:00
VW,Polo,1.2,Petrol,2012,73470,9977,2012,2012-01-01 00:00:00
Ford,Focus,2.0,Diesel,1992,262514,1049,1992,1992-01-01 00:00:00
VW,Golf,2.0,Diesel,2014,83047,17173,2014,2014-01-01 00:00:00
BMW,Z4,2.0,Petrol,1990,293666,719,1990,1990-01-01 00:00:00
VW,Golf,1.2,Diesel,2007,92697,7792,2007,2007-01-01 00:00:00
Toyota,RAV4,2.2,Petrol,2007,79393,16026,2007,2007-01-01 00:00:00
Toyota,Yaris,1.4,Petrol,1998,97286,4046,1998,1998-01-01 00:00:00
VW,Golf,1.6,Diesel,1989,222390,933,1989,1989-01-01 00:00:00
Toyota,RAV4,2.4,Hybrid,2003,117425,11667,2003,2003-01-01 00:00:00
Toyota,Yaris,1.2,Petrol,1992,245990,720,1992,1992-01-01 00:00:00
Toyota,RAV4,2.0,Hybrid,2018,28381,52671,2018,2018-01-01 00:00:00
VW,Polo,1.2,Petrol,1998,155038,2118,1998,1998-01-01 00:00:00
VW,Golf,1.2,Hybrid,1987,121744,1890,1987,1987-01-01 00:00:00
Ford,Mondeo,1.6,Diesel,1996,77584,5667,1996,1996-01-01 00:00:00
Toyota,Prius,1.0,Hybrid,2003,115291,6512,2003,2003-01-01 00:00:00
Toyota,Prius,1.0,Hybrid,1990,238571,961,1990,1990-01-01 00:00:00
Porsche,911,2.6,Petrol,2009,66273,41963,2009,2009-01-01 00:00:00
Toyota,Prius,1.8,Hybrid,2017,31958,38961,2017,2017-01-01 00:00:00
Porsche,911,3.5,Petrol,2005,151556,19747,2005,2005-01-01 00:00:00
Toyota,Yaris,1.2,Petrol,2002,179097,2548,2002,2002-01-01 00:00:00
VW,Golf,2.0,Petrol,2020,18985,36387,2020,2020-01-01 00:00:00
Toyota,RAV4,1.8,Hybrid,2002,66990,13553,2002,2002-01-01 00:00:00
Ford,Focus,1.0,Hybrid,2010,85131,12472,2010,2010-01-01 00:00:00
Ford,Fiesta,1.0,Petrol,2001,144731,2503,2001,2001-01-01 00:00:00
VW,Polo,2.0,Diesel,2008,97001,8784,2008,2008-01-01 00:00:00
VW,Polo,1.6,Petrol,2016,52409,17257,2016,2016-01-01 00:00:00
Ford,Fiesta,1.4,Petrol,2010,112714,6936,2010,2010-01-01 00:00:00
VW,Passat,2.0,Diesel,1992,198540,1964,1992,1992-01-01 00:00:00
VW,Passat,1.8,Diesel,1989,213162,1340,1989,1989-01-01 00:00:00
BMW,Z4,2.2,Petrol,2005,133174,8511,2005,2005-01-01 00:00:00
VW,Polo,1.6,Petrol,2008,129588,5848,2008,2008-01-01 00:00:00
BMW,Z4,2.0,Petrol,1990,148586,2637,1990,1990-01-01 00:00:00
Ford,Focus,2.0,Petrol,1995,91173,5181,1995,1995-01-01 00:00:00
BMW,M5,4.0,Petrol,2017,22759,97758,2017,2017-01-01 00:00:00
VW,Polo,1.4,Petrol,1990,261526,522,1990,1990-01-01 00:00:00
VW,Passat,1.4,Diesel,1995,235594,1439,1995,1995-01-01 00:00:00
BMW,Z4,2.0,Petrol,1995,42759,7873,1995,1995-01-01 00:00:00
VW,Passat,1.8,Diesel,2005,103352,9633,2005,2005-01-01 00:00:00
VW,Passat,1.6,Petrol,2003,63372,10001,2003,2003-01-01 00:00:00
Toyota,Yaris,1.0,Petrol,2009,51787,9689,2009,2009-01-01 00:00:00
Ford,Fiesta,1.4,Petrol,2014,41495,14721,2014,2014-01-01 00:00:00
Toyota,Yaris,1.4,Petrol,2010,43111,12928,2010,2010-01-01 00:00:00
Ford,Fiesta,1.0,Diesel,2017,38370,16257,2017,2017-01-01 00:00:00
Toyota,RAV4,2.4,Petrol,2018,24588,49125,2018,2018-01-01 00:00:00
VW,Polo,1.0,Diesel,2000,207339,1480,2000,2000-01-01 00:00:00
Ford,Fiesta,1.0,Petrol,1990,182958,873,1990,1990-01-01 00:00:00
VW,Passat,1.6,Diesel,1994,114647,4008,1994,1994-01-01 00:00:00
VW,Polo,1.0,Petrol,1995,162993,1482,1995,1995-01-01 00:00:00
VW,Golf,1.2,Petrol,2002,139884,3713,2002,2002-01-01 00:00:00
Porsche,Cayenne,2.6,Diesel,2015,33693,54037,2015,2015-01-01 00:00:00
